Created TAP+ (v1.2.1) - Connection:
	Host: gea.esac.esa.int
	Use HTTPS: True
	Port: 443
	SSL Port: 443
Created TAP+ (v1.2.1) - Connection:
	Host: geadata.esac.esa.int
	Use HTTPS: True
	Port: 443
	SSL Port: 443
+---------------+----------------+-------------------+------------------+------+-------+----------+-----------+-------+----------------+------+------+-----+------------------+
|      Name     |       sp       |         ra        |       dec        | teff |  vmag | distance |  diameter |  rot  | Hrs of X < 1.5 | N<15 | N<12 | N<9 |      Start       |
+---------------+----------------+-------------------+------------------+------+-------+----------+-----------+-------+----------------+------+------+-----+------------------+
|   *   2 Cam   |      A8V       |  69.9919244502183 | 53.4729070590194 | 7031 |   --  | 65.2656  |     --    | 168.2 |      8.7       |  2   |  0   |  0  | 2022-01-11 17:41 |
|   *   5 Cam   |     B9.5V      |  73.7630562690737 | 55.2591258274551 | 9931 |  5.52 | 236.1387 |     --    | 102.0 |      9.0       |  2   |  1   |  0  | 2022-01-11 17:41 |
|   *   9 Aur   |      F2V       |  76.6692972953608 | 51.5977235794525 | 7200 |   --  | 26.7188  |     --    |  16.4 |      9.1       |  2   |  1   |  0  | 2022-01-11 17:41 |
|   *  10 Tri   |      A2V       |  34.7374727465605 | 28.6426764141486 | 9260 | 5.291 | 109.5494 |     --    |  22.0 |      5.4       |  3   |  0   |  0  | 2022-01-11 17:41 |
|   *  26 Ari   |      A9V       |  37.6600719636839 | 19.8553032566154 | 7413 |  6.13 | 72.5637  |     --    | 174.0 |      5.1       |  4   |  0   |  0  | 2022-01-11 17:41 |
|   *  26 Cam   |      A4Vn      |  86.6266260463226 | 56.1155757215102 | 7798 | 5.927 | 60.5778  |     --    | 249.0 |      9.1       |  3   |  0   |  0  | 2022-01-11 17:41 |
|  *  30 Ari A  |      F5V       |  39.2521811479032 | 24.6472188952595 | 6695 |  6.48 | 45.1955  |     --    |  32.0 |      5.5       |  1   |  1   |  1  | 2022-01-11 17:41 |
|   *  31 Cam   |      A2V       |  88.7409367270626 | 59.8883698280144 | 9183 |  5.2  | 139.739  |     --    |  75.0 |      9.1       |  2   |  0   |  0  | 2022-01-11 17:41 |
|   *  33 Ari   |     A2/3V      |  40.1711422124274 | 27.0609495733286 | 8710 | 5.296 |  76.151  |     --    | 107.0 |      5.7       |  2   |  2   |  0  | 2022-01-11 17:41 |
|   *  43 Per   |      F5V       |  59.1521660479872 | 50.6953766085944 | 6637 |   --  | 38.4528  |     --    |  17.0 |      7.9       |  2   |  0   |  0  | 2022-01-11 17:41 |
|   *  47 Ari   |     F0V(e)     |  44.5217554919028 | 20.6687325843237 | 6933 |   --  | 32.6544  |     --    |  23.5 |      5.6       |  5   |  2   |  0  | 2022-01-11 17:41 |
|   *  47 Cas   |      F0V       |   31.2809342804   |   77.281340055   | 6970 | 5.268 | 38.7534  |     --    |   --  |      6.9       |  4   |  1   |  0  | 2022-01-11 17:41 |
|   *  48 Cas   |      A3Va      |    30.48937644    |   70.90702507    | 8204 |  4.54 | 37.8829  |     --    |  81.0 |      6.6       |  2   |  0   |  0  | 2022-01-11 17:41 |
|   *  50 Cas   |      A2V       |   30.8587757542   |  72.4212938186   | 9410 | 3.938 | 44.6842  |     --    |  91.0 |      6.7       |  2   |  0   |  0  | 2022-01-11 17:41 |
|   *  51 Tau   |      F0V       |  64.5967033778292 | 21.579222837617  | 7328 | 5.631 | 57.9099  |     --    |  94.0 |      7.0       |  3   |  0   |  0  | 2022-01-11 17:41 |
|  *  59 And B  |      A1Vn      |  32.7235702777414 | 39.0433101118927 | 9226 |  6.1  | 134.8327 |     --    | 233.0 |      5.7       |  4   |  1   |  1  | 2022-01-11 17:41 |
|    * c And    |      A0V       |  34.819987198198  | 47.3799758983489 | 9572 |  5.31 | 83.6603  |     --    |  86.0 |      6.2       |  3   |  0   |  0  | 2022-01-11 17:41 |
|   * eps Tri   |      A2V       |  30.7414913122653 | 33.2841407798433 | 9141 | 5.516 | 111.7731 | 2280000.0 | 107.0 |      5.3       |  4   |  1   |  0  | 2022-01-11 17:41 |
|   * gam Tri   |     A1Vnn      |   34.3286126396   |  33.8471930692   | 9441 |  4.0  | 33.9527  | 1360000.0 | 254.0 |      5.6       |  2   |  0   |  0  | 2022-01-11 17:41 |
|    * l Per    |      A3V       |  50.3606551305209 | 43.3296503903749 | 8872 | 4.946 | 45.6903  |     --    | 144.0 |      7.0       |  4   |  0   |  0  | 2022-01-11 17:41 |
|    * m Per    |      F0V       |  68.353762920949  | 43.0638929575077 | 6704 | 6.078 | 60.8791  |     --    |  90.4 |      8.2       |  2   |  0   |  0  | 2022-01-11 17:41 |
|   * nu. Ari   |      A7V       |  39.7041353840286 | 21.9614020202986 | 7889 | 5.451 | 85.2871  |     --    | 133.0 |      5.5       |  5   |  1   |  0  | 2022-01-11 17:41 |
|   * ome Aur   |      A1V       |  74.8142099171213 |  37.8902459449   | 9750 |  5.0  | 49.6929  |     --    | 107.0 |      8.5       |  2   |  1   |  1  | 2022-01-11 17:41 |
|   * pi. Per   |      A2Vn      |  44.6902857412977 | 39.6627281085135 | 9290 |  4.7  |  92.767  |     --    | 186.0 |      6.5       |  3   |  0   |  0  | 2022-01-11 17:41 |
|   * ups Tau   |      A8Vn      |   66.5769319833   |  22.8135801383   | 8547 | 4.282 | 44.8924  |     --    | 243.0 |      7.2       |  2   |  0   |  0  | 2022-01-11 17:41 |
|   * zet Ari   |      A1V       |  48.7253808871641 | 21.0444431086621 | 9528 | 4.869 | 78.3036  |     --    | 133.0 |      5.9       |  4   |  1   |  0  | 2022-01-11 17:41 |
|   HD   6798   |      A3V       |  18.0700722854841 | 79.6739640133134 | 9419 |  5.6  | 80.7005  | 1570000.0 | 207.0 |      6.0       |  4   |  1   |  0  | 2022-01-11 17:41 |
|   HD  10587   |      A2V       |  26.1923788209763 | 57.0892327530442 | 8913 |  6.24 | 158.0578 |     --    | 196.0 |      5.9       |  3   |  0   |  0  | 2022-01-11 17:41 |
|   HD  11946   |      A0Vn      |  29.9084886506387 | 64.6215989089293 | 9874 | 5.278 | 79.6331  |     --    | 312.0 |      6.4       |  3   |  1   |  0  | 2022-01-11 17:41 |
|   HD  14213   |      A4V       |  34.7951021069031 | 46.4722626324018 | 7907 |  6.22 |  140.28  |     --    |  70.0 |      6.1       |  2   |  0   |  0  | 2022-01-11 17:41 |
|   HD  14262   |    A9V+F/G     |  34.7414327705195 | 23.1678196421116 | 7178 | 6.441 | 127.1569 |     --    | 123.0 |      5.1       |  4   |  1   |  0  | 2022-01-11 17:41 |
