100%|██████████| 6069/6069 [15:39<00:00,  6.46it/s]
+---------------+-----------------+-------------------+------------------+------+-------+----------+-----------+-------+----------------+------+------+-----+------------------+
|      Name     |        sp       |         ra        |       dec        | teff |  vmag | distance |  diameter |  rot  | Hrs of X < 1.5 | N<15 | N<12 | N<9 |      Start       |
+---------------+-----------------+-------------------+------------------+------+-------+----------+-----------+-------+----------------+------+------+-----+------------------+
|   *   3 UMi   |       A7V       | 211.7348555042341 | 74.5937827889174 | 8091 |  6.44 | 129.833  |     --    |  68.0 |      5.5       |  3   |  1   |  0  | 2022-06-20 20:28 |
|   *  23 Her   |       A4Vn      | 245.7354137896161 | 32.3330110708824 | 8551 | 6.404 | 158.5364 |     --    | 207.0 |      6.3       |  4   |  1   |  0  | 2022-06-20 20:28 |
|   *  30 Dra   |       A2V       |  267.267823489961 | 50.7810934697623 | 9099 |   --  | 64.8694  |     --    | 123.0 |      8.4       |  3   |  0   |  0  | 2022-06-20 20:28 |
|   *  34 Her   |       A1V       | 247.5251367172644 | 48.9610781280636 | 9268 | 6.427 | 112.1391 |     --    |  75.0 |      7.0       |  3   |  0   |  0  | 2022-06-20 20:28 |
|   *  36 Dra   |       F5V       | 273.4743032852796 | 64.3972847978059 | 6522 |   --  | 22.8482  |     --    |  8.0  |      9.3       |  3   |  0   |  0  | 2022-06-20 20:28 |
|   *  53 Her   |       F0V       |  253.241907671874 | 31.7016707867453 | 6982 | 5.333 | 29.6713  |     --    |  84.0 |      6.7       |  7   |  0   |  0  | 2022-06-20 20:28 |
|   *  55 Dra   |       A0V       | 287.4408566563608 | 65.9785148485342 | 9550 |  6.26 | 103.7646 |     --    |  86.0 |      10.3      |  3   |  0   |  0  | 2022-06-20 20:28 |
|   *  59 Dra   |       A7V       | 287.2911639561338 | 76.5605023009739 | 7128 | 5.107 | 27.4681  |     --    |  56.1 |      10.6      |  3   |  0   |  0  | 2022-06-20 20:28 |
|   *  60 Her   |       A3V       | 256.3445444114618 | 12.7408282331659 | 8336 | 4.871 | 40.9892  |     --    | 114.8 |      5.9       |  3   |  1   |  0  | 2022-06-20 20:28 |
|   *  70 Her   |       A2V       | 260.2258567214427 | 24.4994336658503 | 9290 |  5.12 | 129.1289 |     --    | 107.0 |      6.9       |  3   |  0   |  0  | 2022-06-20 20:28 |
